L,H,window_id,model,ticker,val_origin_start,val_origin_end,RMSE,MAE,Directional_Accuracy
10,1,3,VAR,ECH,2022-03-08,2023-04-03,0.021882939539516238,0.01707815277526688,0.4925925925925926
10,1,3,VAR,EWW,2022-03-08,2023-04-03,0.014296291813632254,0.011548226301617413,0.44074074074074077
10,1,3,VAR,EWZ,2022-03-08,2023-04-03,0.022645100303890806,0.01761503072476616,0.4703703703703704
10,1,3,VAR,GXG,2022-03-08,2023-04-03,0.017873071422155343,0.01364147118115234,0.5592592592592592
10,1,3,Ridge,ECH,2022-03-08,2023-04-03,0.022323947422522566,0.01758251369165606,0.46296296296296297
10,1,3,Ridge,EWW,2022-03-08,2023-04-03,0.014390155922576134,0.011720515684837172,0.5111111111111111
10,1,3,Ridge,EWZ,2022-03-08,2023-04-03,0.023565396060377268,0.018169099964310362,0.4444444444444444
10,1,3,Ridge,GXG,2022-03-08,2023-04-03,0.017772549993032197,0.013631037367894302,0.5185185185185185
10,1,3,MLP,ECH,2022-03-08,2023-04-03,0.03407458898247907,0.026454810151085025,0.5
10,1,3,MLP,EWW,2022-03-08,2023-04-03,0.06877486006688227,0.05480539472776022,0.4962962962962963
10,1,3,MLP,EWZ,2022-03-08,2023-04-03,0.051688043772806495,0.04058988648650407,0.5481481481481482
10,1,3,MLP,GXG,2022-03-08,2023-04-03,0.07573678736958997,0.05911453157595792,0.43703703703703706
10,1,3,Random Forest,ECH,2022-03-08,2023-04-03,0.021793340925883257,0.016987789148744468,0.5481481481481482
10,1,3,Random Forest,EWW,2022-03-08,2023-04-03,0.014012645378625283,0.011337998413457612,0.5296296296296297
10,1,3,Random Forest,EWZ,2022-03-08,2023-04-03,0.022165579963338514,0.016958361136943365,0.5185185185185185
10,1,3,Random Forest,GXG,2022-03-08,2023-04-03,0.017922560891475047,0.013489998462732437,0.5222222222222223
10,1,3,Diffusion,ECH,2022-03-08,2023-04-03,0.022361772621625198,0.017549228529386122,0.48148148148148145
10,1,3,Diffusion,EWW,2022-03-08,2023-04-03,0.014220708633171033,0.01159980179932891,0.5074074074074074
10,1,3,Diffusion,EWZ,2022-03-08,2023-04-03,0.022461852718244992,0.017474223463958084,0.4925925925925926
10,1,3,Diffusion,GXG,2022-03-08,2023-04-03,0.01811728658542989,0.013658638751930892,0.5148148148148148
10,1,4,Random Walk,ECH,2022-12-02,2023-12-29,0.01624214725629927,0.012046947648008555,0.014814814814814815
10,1,4,Random Walk,EWW,2022-12-02,2023-12-29,0.013373153648458293,0.010384838489657038,0.003703703703703704
10,1,4,Random Walk,EWZ,2022-12-02,2023-12-29,0.01657605249916296,0.012962848767432858,0.007407407407407408
10,1,4,Random Walk,GXG,2022-12-02,2023-12-29,0.014724350102504944,0.011630325112125967,0.003703703703703704
10,1,4,Historical Mean,ECH,2022-12-02,2023-12-29,0.01719207863051838,0.01269044644622289,0.5148148148148148
10,1,4,Historical Mean,EWW,2022-12-02,2023-12-29,0.014081371960003057,0.011155616877291623,0.5
10,1,4,Historical Mean,EWZ,2022-12-02,2023-12-29,0.01759673457792022,0.013954754437315838,0.45925925925925926
10,1,4,Historical Mean,GXG,2022-12-02,2023-12-29,0.015298570465223163,0.012130131369604176,0.5
10,1,4,AR Linear,ECH,2022-12-02,2023-12-29,0.016346542187023284,0.012185625135487316,0.4777777777777778
10,1,4,AR Linear,EWW,2022-12-02,2023-12-29,0.013426884830485661,0.010426419457572616,0.5148148148148148
10,1,4,AR Linear,EWZ,2022-12-02,2023-12-29,0.0170810779956909,0.013219076776097198,0.45555555555555555
10,1,4,AR Linear,GXG,2022-12-02,2023-12-29,0.014645766699296367,0.011552372079343433,0.5333333333333333
10,1,4,ARIMA,ECH,2022-12-02,2023-12-29,0.01821068936879696,0.013556142750749343,0.4777777777777778
10,1,4,ARIMA,EWW,2022-12-02,2023-12-29,0.015465798950011371,0.011853419091294988,0.5185185185185185
10,1,4,ARIMA,EWZ,2022-12-02,2023-12-29,0.018635966448924388,0.014667232085058395,0.4925925925925926
10,1,4,ARIMA,GXG,2022-12-02,2023-12-29,0.017960174771172278,0.012823762007297727,0.45185185185185184
10,1,4,ARCH,ECH,2022-12-02,2023-12-29,0.016240057200165532,0.012056573187313674,0.45185185185185184
10,1,4,ARCH,EWW,2022-12-02,2023-12-29,0.01337994496100023,0.010391215737796007,0.5
10,1,4,ARCH,EWZ,2022-12-02,2023-12-29,0.016833710597805508,0.01307493758202069,0.4777777777777778
10,1,4,ARCH,GXG,2022-12-02,2023-12-29,0.014601910624936161,0.011470549391844444,0.5518518518518518
10,1,4,GARCH,ECH,2022-12-02,2023-12-29,0.016237701107316937,0.012088913451768137,0.45185185185185184
10,1,4,GARCH,EWW,2022-12-02,2023-12-29,0.013419268503984078,0.010427340995897117,0.5
10,1,4,GARCH,EWZ,2022-12-02,2023-12-29,0.01941519974602126,0.014876876115201946,0.4777777777777778
10,1,4,GARCH,GXG,2022-12-02,2023-12-29,0.016089644675210336,0.012664474995482164,0.5518518518518518
10,1,4,VAR,ECH,2022-12-02,2023-12-29,0.01632841122120975,0.01217404889737047,0.48148148148148145
10,1,4,VAR,EWW,2022-12-02,2023-12-29,0.013450544632816665,0.010362736119102243,0.4962962962962963
10,1,4,VAR,EWZ,2022-12-02,2023-12-29,0.016733462380401295,0.01298995791780724,0.48148148148148145
10,1,4,VAR,GXG,2022-12-02,2023-12-29,0.014765135077826688,0.011617139658528309,0.5259259259259259
10,1,4,Ridge,ECH,2022-12-02,2023-12-29,0.016345772898446593,0.012229348330023213,0.5296296296296297
10,1,4,Ridge,EWW,2022-12-02,2023-12-29,0.013689824659529132,0.010641772696123873,0.5222222222222223
10,1,4,Ridge,EWZ,2022-12-02,2023-12-29,0.017060851191587696,0.013224469667303843,0.5074074074074074
10,1,4,Ridge,GXG,2022-12-02,2023-12-29,0.01492644409713612,0.01185118021604692,0.5370370370370371
10,1,4,MLP,ECH,2022-12-02,2023-12-29,0.05272872225867892,0.03598684766230278,0.5407407407407407
10,1,4,MLP,EWW,2022-12-02,2023-12-29,0.06791422021331851,0.041569793328013444,0.5148148148148148
10,1,4,MLP,EWZ,2022-12-02,2023-12-29,0.05240642241589268,0.0340930406603226,0.4703703703703704
10,1,4,MLP,GXG,2022-12-02,2023-12-29,0.06710065163077997,0.04126655793815795,0.5444444444444444
10,1,4,Random Forest,ECH,2022-12-02,2023-12-29,0.016222324864353873,0.012082004744701932,0.5370370370370371
10,1,4,Random Forest,EWW,2022-12-02,2023-12-29,0.013223064203991792,0.010221991393599101,0.5259259259259259
10,1,4,Random Forest,EWZ,2022-12-02,2023-12-29,0.016564227720564966,0.01291493881178247,0.5
10,1,4,Random Forest,GXG,2022-12-02,2023-12-29,0.014577655073412644,0.011543807884335577,0.5407407407407407
10,1,4,Diffusion,ECH,2022-12-02,2023-12-29,0.01623811529742233,0.011907862870744988,0.5481481481481482
10,1,4,Diffusion,EWW,2022-12-02,2023-12-29,0.013348858272415238,0.010319280794712345,0.5518518518518518
10,1,4,Diffusion,EWZ,2022-12-02,2023-12-29,0.01655121629057504,0.012952950579763962,0.4925925925925926
10,1,4,Diffusion,GXG,2022-12-02,2023-12-29,0.014661881512250943,0.011555837248164568,0.5481481481481482
10,5,0,Random Walk,ECH,2019-12-20,2021-01-15,0.06044448806767179,0.04118652584937249,0.0
10,5,0,Random Walk,EWW,2019-12-20,2021-01-15,0.05786908412480569,0.03999346026202471,0.0
10,5,0,Random Walk,EWZ,2019-12-20,2021-01-15,0.07685279199195613,0.052089335006159365,0.0
10,5,0,Random Walk,GXG,2019-12-20,2021-01-15,0.0854801059746505,0.05116957457133268,0.0
10,5,0,Historical Mean,ECH,2019-12-20,2021-01-15,0.06095667075317762,0.04234363899601866,0.48148148148148145
10,5,0,Historical Mean,EWW,2019-12-20,2021-01-15,0.05644816513062928,0.040099407908364755,0.4666666666666667
10,5,0,Historical Mean,EWZ,2019-12-20,2021-01-15,0.07542487417767293,0.05096470561479686,0.5777777777777777
10,5,0,Historical Mean,GXG,2019-12-20,2021-01-15,0.08507621870341162,0.050890369188182474,0.5481481481481482
10,5,0,AR Linear,ECH,2019-12-20,2021-01-15,0.060323455731632065,0.04128287691745411,0.4925925925925926
10,5,0,AR Linear,EWW,2019-12-20,2021-01-15,0.05902308689745599,0.039970597223783,0.5592592592592592
