L,H,Asset,Model,RMSE,MAE,Directional_Accuracy,N_Windows,MCS_Status
42,1,ECH,Ridge,0.021602559163935678,0.015994453852813607,0.525563909774436,5,Excluded
42,1,ECH,VAR,0.02104942691202153,0.015374538856391003,0.4849624060150376,5,Excluded
42,1,EWW,AR Linear,0.016542797858284605,0.012365456259882572,0.5075187969924813,5,Excluded
42,1,EWW,ARCH,0.016393232267549095,0.012311146644699289,0.47819548872180456,5,Excluded
42,1,EWW,ARIMA,0.020457899137617207,0.01565949770451599,0.48646616541353377,5,Excluded
42,1,EWW,Diffusion,0.016518240150387452,0.012492890522721106,0.4932330827067669,5,Excluded
42,1,EWW,GARCH,0.01688305589654083,0.01261338409007865,0.47819548872180456,5,Excluded
42,1,EWW,Historical Mean,0.016486891482836042,0.012404303264231902,0.51203007518797,5,Excluded
42,1,EWW,MLP,0.32610551080293276,0.2418659903729941,0.4894736842105263,5,Excluded
42,1,EWW,Random Forest,0.016364589619469926,0.012277442914282899,0.4917293233082707,5,Excluded
42,1,EWW,Random Walk,0.01630092916039199,0.012261497621798371,0.5,5,In MCS
42,1,EWW,Ridge,0.017458670074444956,0.013149194347113816,0.5203007518796993,5,Excluded
42,1,EWW,VAR,0.0164621440572776,0.012379224273516077,0.48045112781954885,5,Excluded
42,1,EWZ,AR Linear,0.024063930228226605,0.017668988932598398,0.4992481203007519,5,Excluded
42,1,EWZ,ARCH,0.023894599639133925,0.017536916613288593,0.525563909774436,5,Excluded
42,1,EWZ,ARIMA,0.025282433207296423,0.018799645020848285,0.48120300751879697,5,Excluded
42,1,EWZ,Diffusion,0.023972868069062236,0.017607597112410923,0.48571428571428565,5,Excluded
42,1,EWZ,GARCH,0.02652742829417115,0.01971640823049405,0.525563909774436,5,Excluded
42,1,EWZ,Historical Mean,0.024029999158468623,0.01763453245761474,0.5172932330827067,5,Excluded
42,1,EWZ,MLP,0.32155530384806214,0.24397430874956155,0.5052631578947369,5,Excluded
42,1,EWZ,Random Forest,0.023980575453221787,0.017530585427861543,0.518796992481203,5,Excluded
42,1,EWZ,Random Walk,0.023788564866740792,0.017470272060981694,0.5,5,In MCS
42,1,EWZ,Ridge,0.02610093501033614,0.01939333586320285,0.4616541353383458,5,Excluded
42,1,EWZ,VAR,0.0238518839864591,0.01754265195093129,0.5112781954887218,5,Excluded
42,1,GXG,AR Linear,0.01826398189935242,0.01285925719544507,0.556390977443609,5,Excluded
42,1,GXG,ARCH,0.018294285225694425,0.012785942724016725,0.5586466165413534,5,Excluded
42,1,GXG,ARIMA,0.01976602577509274,0.013556522668966828,0.4924812030075188,5,Excluded
42,1,GXG,Diffusion,0.01866911589830466,0.013038157765835768,0.49097744360902257,5,Excluded
42,1,GXG,GARCH,0.01996716621145695,0.01414845792557087,0.5586466165413534,5,Excluded
42,1,GXG,Historical Mean,0.018664375805979454,0.013088577686921083,0.4977443609022557,5,Excluded
42,1,GXG,MLP,0.271839537033414,0.20638850850440807,0.47819548872180445,5,Excluded
42,1,GXG,Random Forest,0.018511991755223067,0.012842092939361144,0.5203007518796993,5,Excluded
42,1,GXG,Random Walk,0.018504941497745887,0.012887226263394377,0.5,5,In MCS
42,1,GXG,Ridge,0.019489252352186404,0.013817109557783234,0.5263157894736843,5,Excluded
42,1,GXG,VAR,0.01840535890734431,0.012846166839986259,0.5571428571428572,5,Excluded
42,5,ECH,AR Linear,0.04595416338847487,0.03586951577536669,0.4842105263157895,5,Excluded
42,5,ECH,ARCH,0.04571060743775496,0.03570204593483685,0.47293233082706765,5,In MCS
42,5,ECH,ARIMA,0.046686900365175844,0.036326892271060965,0.5203007518796993,5,Excluded
42,5,ECH,Diffusion,0.04575112383820503,0.0355319314251422,0.5150375939849624,5,Excluded
42,5,ECH,GARCH,0.04577295769900299,0.03586985001651266,0.47293233082706765,5,Excluded
42,5,ECH,Historical Mean,0.04595391069213482,0.035838044783315134,0.4864661654135339,5,Excluded
42,5,ECH,MLP,0.26936969995672555,0.20007920349814007,0.5007518796992481,5,Excluded
42,5,ECH,Random Forest,0.046266452503721356,0.03610659242139088,0.47518796992481205,5,Excluded
42,5,ECH,Random Walk,0.0457495170530599,0.03567818162135353,0.5,5,Excluded
42,5,ECH,Ridge,0.047797328881811894,0.03697447873829203,0.5270676691729324,5,Excluded
42,5,ECH,VAR,0.04572678184026818,0.03575667655319835,0.48045112781954885,5,Excluded
42,5,EWW,AR Linear,0.037217686667910074,0.028220670860801877,0.512781954887218,5,Excluded
42,5,EWW,ARCH,0.036899317704815145,0.028162135335094807,0.48045112781954885,5,In MCS
42,5,EWW,ARIMA,0.038571454314005243,0.029649123982509233,0.4939849624060151,5,Excluded
42,5,EWW,Diffusion,0.037154405540906904,0.027985641060630995,0.556390977443609,5,Excluded
42,5,EWW,GARCH,0.03702932530679591,0.028287708177047587,0.48045112781954885,5,Excluded
