L,H,window_id,model,regime,n_eval,RMSE,MAE,Directional_Accuracy
42,5,4,AR Linear,high_vol,148,0.036263786030072964,0.028636332113789062,0.5084459459459459
42,5,4,ARIMA,low_vol,118,0.03435445240285406,0.027645528705856844,0.5042372881355932
42,5,4,ARIMA,high_vol,148,0.037903205422038816,0.029496082429095866,0.5168918918918919
42,5,4,ARCH,low_vol,118,0.0339477863644557,0.02738922080794263,0.5
42,5,4,ARCH,high_vol,148,0.03633493376737246,0.028832365470302296,0.4797297297297297
42,5,4,GARCH,low_vol,118,0.034449556406920975,0.027853394154512774,0.5
42,5,4,GARCH,high_vol,148,0.03660761966650912,0.029204773177302756,0.4797297297297297
42,5,4,VAR,low_vol,118,0.03398707570967947,0.027380387915893326,0.5021186440677966
42,5,4,VAR,high_vol,148,0.03627869600483325,0.028816022657601567,0.4966216216216216
42,5,4,Ridge,low_vol,118,0.037349724627017265,0.03059058849133351,0.4830508474576271
42,5,4,Ridge,high_vol,148,0.03900513448470705,0.03125231007019452,0.5101351351351351
42,5,4,MLP,low_vol,118,0.19760188708533183,0.14167091079464703,0.5
42,5,4,MLP,high_vol,148,0.17788033745604112,0.13260547202505085,0.5016891891891891
42,5,4,Random Forest,low_vol,118,0.0339943469215169,0.02737654309068268,0.4724576271186441
42,5,4,Random Forest,high_vol,148,0.03689188737124792,0.02939818124733878,0.5067567567567568
42,5,4,Diffusion,low_vol,118,0.03348489727127018,0.027218835022296804,0.4851694915254237
42,5,4,Diffusion,high_vol,148,0.03616230557421919,0.028586847303117037,0.5489864864864865
