L,H,Model,RMSE,MAE,Directional_Accuracy,RMSE_STD,N_Windows,N_Val_Total,DM_Stat,P_Value,significant_5pct
42,1,Random Walk,0.02012818224248575,0.01445953744991857,0.5,0.006624385709925062,5,1330,0.0,1.0,False
42,1,ARCH,0.02015544101612266,0.014491845930942212,0.5048872180451128,0.006610822307322363,5,1330,-0.4238911728343511,0.6716451820383806,False
42,1,VAR,0.02020711690362897,0.014535645480206158,0.5084586466165414,0.006606212552586253,5,1330,-1.0366527678258568,0.2998977116635193,False
42,1,Random Forest,0.020213438570196793,0.014475054196682777,0.5030075187969925,0.006716297919304771,5,1330,-2.258163065343552,0.023935495013082786,True
42,1,AR Linear,0.020271185503552922,0.01459346890790408,0.5092105263157894,0.0066848080768905065,5,1330,-2.0739930873463472,0.0380799528588871,True
42,1,Diffusion,0.020286625408153805,0.014620439367508767,0.4842105263157895,0.006646153829032515,5,1330,-4.235554657119841,2.2798823687386616e-05,True
42,1,Historical Mean,0.020346086113645155,0.014655486818105343,0.5026315789473684,0.0066620293409505715,5,1330,-2.2159471206848673,0.026695123872217286,True
42,1,Ridge,0.02147653525942632,0.015588523405228377,0.5084586466165414,0.007002020586019204,5,1330,-9.82888878321608,0.0,True
42,1,GARCH,0.02161468485938125,0.01558101695649139,0.5048872180451128,0.006721115624514134,5,1330,-6.208721782737658,5.341729281127527e-10,True
42,1,ARIMA,0.022375656906766062,0.016224166085841655,0.4883458646616542,0.00590043765700297,5,1330,-10.007973470329965,0.0,True
42,1,MLP,0.30815619226736934,0.2296171569036205,0.48890977443609024,0.17876550087699333,5,1330,-21.922663309667048,0.0,True
42,5,ARCH,0.04638330835508206,0.03467004009241163,0.4956766917293233,0.014808377978419182,5,1330,1.4892575180653012,0.1364195698126609,False
42,5,VAR,0.04641614350138466,0.03471102765109298,0.4943609022556391,0.01483416775068126,5,1330,0.7831362818314992,0.43354708730875124,False
42,5,Random Walk,0.04646280236599686,0.03464986015119391,0.5,0.014924340766899706,5,1330,0.0,1.0,False
42,5,Historical Mean,0.04651819654549478,0.03467520849875449,0.5028195488721805,0.014800570744679192,5,1330,-0.11003172735802737,0.9123842128821475,False
42,5,AR Linear,0.0465332298578171,0.03469004995090888,0.5073308270676692,0.014905724935185456,5,1330,-0.6261198625198322,0.5312363250676841,False
42,5,GARCH,0.046769572659947016,0.03509634029662306,0.4956766917293233,0.01452800145912072,5,1330,-0.7527266555551296,0.4516141886756406,False
42,5,Random Forest,0.046949666667896746,0.03508147694164383,0.4870300751879699,0.014817402530049525,5,1330,-2.1080576395280235,0.03502600397848754,True
42,5,Diffusion,0.046960129570493295,0.034742256720687016,0.5340225563909774,0.015177366752544379,5,1330,-1.4898566712979886,0.13626192635657564,False
42,5,ARIMA,0.047311367354038805,0.03534207057648617,0.49793233082706767,0.014201267887349836,5,1330,-3.6630601146161563,0.00024922002146632316,True
42,5,Ridge,0.05001592336763876,0.037279738866611914,0.5069548872180452,0.01676471491354746,5,1330,-5.18938785639379,2.1098652291939857e-07,True
42,5,MLP,0.2981039314513215,0.2208114804504771,0.49943609022556396,0.1763385059155924,5,1330,-9.633172467134939,0.0,True
