L,H,Regime,Model,RMSE,MAE,Directional_Accuracy,N_Windows,N_Val_Total
21,1,low_vol,MLP,0.1283574375880864,0.09886535718012326,0.48188446833822607,5,403
21,1,low_vol,Random Forest,0.01575546576802839,0.011894846876046715,0.48147465529571976,5,403
21,1,low_vol,Random Walk,0.015694766849054912,0.011860574417503907,0.5,5,403
21,1,low_vol,Ridge,0.016230885418117957,0.012296721162080916,0.4855677107587514,5,403
21,1,low_vol,VAR,0.015836653480525216,0.011938814459169764,0.4981405751871849,5,403
21,5,high_vol,AR Linear,0.04903719115158417,0.03645647332566994,0.5086225909313846,5,943
21,5,high_vol,ARCH,0.04888870203982829,0.03644188429480015,0.4844946316603604,5,943
21,5,high_vol,ARIMA,0.049963422106242224,0.0372001066065327,0.511866451947541,5,943
21,5,high_vol,Diffusion,0.04903871854387287,0.03616405703798451,0.5568186042559966,5,943
21,5,high_vol,GARCH,0.04929046009442711,0.03691924538940054,0.4844946316603604,5,943
21,5,high_vol,Historical Mean,0.04919514140956508,0.036499738094131914,0.5151474851531861,5,943
21,5,high_vol,MLP,0.20710498680144304,0.15058202894819242,0.501332319118456,5,943
21,5,high_vol,Random Forest,0.04937099799221254,0.036674472548685326,0.487329223441267,5,943
21,5,high_vol,Random Walk,0.04897651017830966,0.036408214024829556,0.5,5,943
21,5,high_vol,Ridge,0.05101312995898549,0.037947452399188834,0.5202083860150857,5,943
21,5,high_vol,VAR,0.048889247629786005,0.03646031716582757,0.49764240503118345,5,943
21,5,low_vol,AR Linear,0.03637018146897323,0.028587356967964737,0.5131515013435142,5,397
21,5,low_vol,ARCH,0.03637603429909914,0.028644003440876493,0.5072263416454886,5,397
21,5,low_vol,ARIMA,0.03740779711807628,0.029240903851564127,0.49613322231613405,5,397
21,5,low_vol,Diffusion,0.03689114136396526,0.028876140065136214,0.5082032283149918,5,397
21,5,low_vol,GARCH,0.03676531654435111,0.028972737322075857,0.5072263416454886,5,397
21,5,low_vol,Historical Mean,0.03664057356295386,0.028828368656163873,0.5029122190311366,5,397
21,5,low_vol,MLP,0.14444504251914367,0.11043493605610047,0.512179016791052,5,397
21,5,low_vol,Random Forest,0.03664834138175887,0.028905155207398482,0.4830005332850359,5,397
21,5,low_vol,Random Walk,0.03639892695430565,0.028635949152307716,0.5,5,397
21,5,low_vol,Ridge,0.037241405847107625,0.029113231828603148,0.5268450021178076,5,397
21,5,low_vol,VAR,0.03647252799429389,0.02872227181987465,0.4933088539690206,5,397
42,1,high_vol,AR Linear,0.02074975646662517,0.014988330755737845,0.5095832458725795,5,1029
42,1,high_vol,ARCH,0.020639451792378548,0.01488425569391651,0.500415127317003,5,1029
42,1,high_vol,ARIMA,0.02301058960687467,0.01669206244641217,0.4941032337856246,5,1029
42,1,high_vol,Diffusion,0.02076768378225737,0.014985016598291042,0.4862777109197882,5,1029
42,1,high_vol,GARCH,0.022240784419633192,0.01608140259471085,0.500415127317003,5,1029
42,1,high_vol,Historical Mean,0.020802014728216738,0.015017639914418096,0.5055917950097681,5,1029
42,1,high_vol,MLP,0.3176716344978205,0.2396356111378865,0.49033605370615446,5,1029
42,1,high_vol,Random Forest,0.020673224398207766,0.014834754126316727,0.507869650956857,5,1029
42,1,high_vol,Random Walk,0.02058498190538781,0.014822671134796997,0.5,5,1029
42,1,high_vol,Ridge,0.021792376104837804,0.015827733692415653,0.5135401745821678,5,1029
42,1,high_vol,VAR,0.02068865873569297,0.014921732971641583,0.50586294778694,5,1029
42,1,low_vol,AR Linear,0.016571821876348043,0.012276577304787465,0.5187248884994786,4,301
42,1,low_vol,ARCH,0.016485555990019708,0.012223276546689107,0.5152597402597403,4,301
42,1,low_vol,ARIMA,0.01841417950663378,0.013766461952839492,0.4687200436175846,4,301
