L,H,window_id,model,val_origin_start,val_origin_end,n_train,n_val,RMSE,MAE,Directional_Accuracy
10,5,1,AR Linear,2020-09-15,2021-10-08,1421,270,0.038011754597041515,0.029359271333341645,0.5101851851851852
10,5,1,Ridge,2020-09-15,2021-10-08,1421,270,0.03762193816928459,0.02881862936938028,0.5657407407407408
10,5,1,MLP,2020-09-15,2021-10-08,1421,270,0.1224244780315096,0.09192060738647168,0.5157407407407407
10,5,1,Random Forest,2020-09-15,2021-10-08,1421,270,0.037949758442413065,0.029350306165942364,0.5212962962962963
10,5,1,Diffusion,2020-09-15,2021-10-08,1421,270,1.1194496292730955,0.8794363524600947,0.5203703703703704
10,5,2,Random Walk,2021-06-10,2022-07-06,1606,270,0.04090464188261347,0.03178667542403036,0.0
10,5,2,Historical Mean,2021-06-10,2022-07-06,1606,270,0.040754553142700274,0.03150538064211063,0.5277777777777778
10,5,2,AR Linear,2021-06-10,2022-07-06,1606,270,0.040863611086745716,0.03175510962484411,0.512962962962963
10,5,2,Ridge,2021-06-10,2022-07-06,1606,270,0.04149538794048367,0.0318976437424666,0.5361111111111111
10,5,2,MLP,2021-06-10,2022-07-06,1606,270,0.09803500368326373,0.07578611522811086,0.5027777777777778
10,5,2,Random Forest,2021-06-10,2022-07-06,1606,270,0.0417630802293259,0.03252476359606698,0.44074074074074077
10,5,2,Diffusion,2021-06-10,2022-07-06,1606,270,0.4037139746419957,0.31666329594527204,0.5101851851851852
10,5,3,Random Walk,2022-03-04,2023-03-30,1791,270,0.04607146655791575,0.03664234563053473,0.0
10,5,3,Historical Mean,2022-03-04,2023-03-30,1791,270,0.04622577945916882,0.036641148767613076,0.5092592592592593
10,5,3,AR Linear,2022-03-04,2023-03-30,1791,270,0.046060382800983735,0.03667738940718199,0.49907407407407406
10,5,3,Ridge,2022-03-04,2023-03-30,1791,270,0.047410087086227744,0.037706499269705734,0.4666666666666667
10,5,3,MLP,2022-03-04,2023-03-30,1791,270,0.08198048592888313,0.06289007775205699,0.462037037037037
10,5,3,Random Forest,2022-03-04,2023-03-30,1791,270,0.04633591774902636,0.03692956936803177,0.5175925925925926
10,5,3,Diffusion,2022-03-04,2023-03-30,1791,270,0.27897742415128196,0.22258914387331752,0.5037037037037037
